Dimension 1: POS_conc_freq,Code1,Count,,Dimension 2: Small Categories,Code2,Count,,Dimension 3: Large Categories,Code3,Count
,,,,Nonwords/Nonsense,Code2,Count,,,,
,,,,nonword,75,110,,,,
,,,,pic_nonsense_object,101,5,,,,
,,,,pic_interweave_birds,103,1,,,,
,,,,pic_interweave_building,111,1,,,,
,,,,pic_interweave_faces,112,3,,,,
,,,,pic_interweave_fruits,113,1,,,,
,,,,pic_interweave_instrumentverbs,114,3,,,,
,,,,pic_interweave_library,115,1,,,,
,,,,pic_interweave_living_room,116,1,,,,
,,,,pic_interweave_mammals,117,1,,,,
,,,,pic_interweave_mannerverbs,118,3,,,,
,,,,pic_interweave_musical_instruments,119,1,,,,
,,,,pic_interweave_nature_canyon,120,1,,,,
,,,,pic_interweave_nature_forest,121,1,,,,
,,,,pic_interweave_nonsense,122,1,,,,
,,,,pic_interweave_places,123,3,,,,
,,,,pic_interweave_supermarket,124,1,,,,
,,,,pic_interweave_tools,125,1,,,,
,,,,pic_interweave_vehicles,126,1,,,,
,,,,,,,,,,
,,,,Adjectives,Code2,Count,,,,
,,,,spatial_adj,77,5,,,,
,,,,adj_generic,76,25,,,,
,,,,tactile_adj,78,5,,,,
,,,,adj_noCode2,82,14,,,,
,,,,,,,,,,
,,,,Other Categories,,,,,,
,,,,numbers_noCode2,83,40,,,,
,,,,determiner_noCode2,84,2,,,,
,,,,preposition_noCode2,85,26,,,,
,,,,function_word,24,8,,,,
,,,,,,,,,,
,,,,Picture Categories,Code2,Count,,,,
,,,,pic_verb_instrument,97,15,,,,
,,,,pic_verb_manner,99,15,,,,
,,,,pic_nonsense_object,101,5,,,,
,,,,pic_face_famous,94,15,,,,
,,,,pic_place_famous,95,15,,,,
,,,,pic_face_angry,89,6,,,,
,,,,pic_face_fear,90,6,,,,
,,,,pic_face_happy,91,6,,,,
,,,,pic_face_neutral,92,6,,,,
,,,,pic_face_sad,93,6,,,,
,,,,pic_scene_building,102,5,,,,
,,,,pic_scene_library,106,5,,,,
,,,,pic_scene_forest,107,5,,,,
,,,,pic_scene_canyon,108,5,,,,
,,,,pic_scene_supermarket,109,5,,,,
,,,,pic_scene_library,110,5,,,,
,,,,pic_obj_vehicle,105,5,,,,
,,,,pic_obj_musicalinstrument,100,5,,,,
,,,,pic_obj_tool,104,5,,,,
,,,,pic_obj_bird,88,5,,,,
,,,,pic_obj_fruit,96,5,,,,
,,,,pic_obj_mammal,98,5,,,,
,,,,pic_interweave_birds,103,1,,,,
,,,,pic_interweave_building,111,1,,,,
,,,,pic_interweave_faces,112,3,,,,
,,,,pic_interweave_fruits,113,1,,,,
,,,,pic_interweave_instrumentverbs1,114,3,,,,
,,,,pic_interweave_library,115,1,,,,
,,,,pic_interweave_living_room,116,1,,,,
,,,,pic_interweave_mammals,117,1,,,,
,,,,pic_interweave_mannerverbs,118,3,,,,
,,,,pic_interweave_musical_instruments,119,1,,,,
,,,,pic_interweave_nature_canyon,120,1,,,,
,,,,pic_interweave_nature_forest,121,1,,,,
,,,,pic_interweave_nonsense,122,1,,,,
,,,,pic_interweave_places,123,3,,,,
,,,,pic_interweave_supermarket,124,1,,,,
,,,,pic_interweave_tools,125,1,,,,
,,,,pic_interweave_vehicles,126,1,,,,
,,,,,,180,,,,
,,,,,,25,,,,
